code,bucket
518880.XSHG,global
501018.XSHG,global
161226.XSHE,global
159985.XSHE,global
159980.XSHE,global
513310.XSHG,global
159518.XSHE,global
159509.XSHE,global
513100.XSHG,global
513520.XSHG,global
513500.XSHG,global
159502.XSHE,global
513400.XSHG,global
513030.XSHG,global
513290.XSHG,global
520830.XSHG,global
159529.XSHE,global
513090.XSHG,china
513120.XSHG,china
513180.XSHG,china
513330.XSHG,china
513750.XSHG,china
159892.XSHE,china
513190.XSHG,china
159605.XSHE,china
513630.XSHG,china
159323.XSHE,china
510900.XSHG,china
513920.XSHG,china
513970.XSHG,china
511380.XSHG,china
512050.XSHG,china
510500.XSHG,china
159915.XSHE,china
510300.XSHG,china
512100.XSHG,china
159949.XSHE,china
588080.XSHG,china
159967.XSHE,china
588220.XSHG,china
563300.XSHG,china
510760.XSHG,china
588200.XSHG,china
515880.XSHG,china
159981.XSHE,china
512880.XSHG,china
513350.XSHG,china
159326.XSHE,china
159516.XSHE,china
159206.XSHE,china
512480.XSHG,china
159363.XSHE,china
159870.XSHE,china
512400.XSHG,china
159755.XSHE,china
588170.XSHG,china
159992.XSHE,china
159995.XSHE,china
512890.XSHG,china
515220.XSHG,china
159566.XSHE,china
159819.XSHE,china
512800.XSHG,china
512690.XSHG,china
515050.XSHG,china
562500.XSHG,china
512170.XSHG,china
517520.XSHG,china
159869.XSHE,china
512070.XSHG,china
159611.XSHE,china
562800.XSHG,china
515120.XSHG,china
512010.XSHG,china
510880.XSHG,china
515790.XSHG,china
515980.XSHG,china
512660.XSHG,china
159928.XSHE,china
512710.XSHG,china
560860.XSHG,china
515030.XSHG,china
159766.XSHE,china
159218.XSHE,china
159852.XSHE,china
516160.XSHG,china
516150.XSHG,china
159227.XSHE,china
159583.XSHE,china
588790.XSHG,china
159865.XSHE,china
512980.XSHG,china
159851.XSHE,china
561360.XSHG,china
561980.XSHG,china
562590.XSHG,china
512200.XSHG,china
159732.XSHE,china
159667.XSHE,china
516510.XSHG,china
159840.XSHE,china
159998.XSHE,china
159825.XSHE,china
512670.XSHG,china
159883.XSHE,china
515210.XSHG,china
515400.XSHG,china
159256.XSHE,china
561330.XSHG,china
515170.XSHG,china
159638.XSHE,china
516520.XSHG,china
513360.XSHG,china
516190.XSHG,china
