date,side,code,name,market_price,execution_price,shares,market_notional,fixed_fee,slippage_cost,impact_cost,premium_cost,total_cost
2025-01-02,buy,513520.XSHG,日经ETF华夏,1.461,1.4634837,6800,9934.800000000001,5,4.9674000000000005,1.9869600000000003,9.934800000000001,21.889160000000004
2025-01-03,sell,513520.XSHG,日经ETF华夏,1.476,1.4734908,6800,10036.8,5,5.0184,2.00736,10.0368,22.062559999999998
2025-01-03,buy,159529.XSHE,标普消费ETF景顺,1.547,1.5496299,6400,9900.8,5,4.9504,1.98016,9.9008,21.83136
2025-01-06,sell,159529.XSHE,标普消费ETF景顺,1.512,1.5094296,6400,9676.8,5,4.8384,1.93536,9.6768,21.45056
2025-01-06,buy,501018.XSHG,南方原油LOF,1.282,1.2841794,7600,9743.2,5,4.871600000000001,1.9486400000000001,9.743200000000002,21.563440000000003
2025-01-07,sell,501018.XSHG,南方原油LOF,1.272,1.2698376,7600,9667.2,5,4.833600000000001,1.9334400000000003,9.667200000000001,21.434240000000003
2025-01-07,buy,159509.XSHE,纳指科技ETF景顺,1.688,1.6908696,5700,9621.6,5,4.8108,1.9243200000000003,9.6216,21.356720000000003
2025-01-08,sell,159509.XSHE,纳指科技ETF景顺,1.635,1.6322204999999999,5700,9319.5,5,4.65975,1.8639000000000001,9.3195,20.84315
2025-01-08,buy,501018.XSHG,南方原油LOF,1.285,1.2871845,7200,9252.0,5,4.626,1.8504,9.252,20.7284
2025-01-09,sell,501018.XSHG,南方原油LOF,1.273,1.2708358999999998,7200,9165.599999999999,5,4.5828,1.8331199999999999,9.1656,20.581519999999998
2025-01-09,buy,159509.XSHE,纳指科技ETF景顺,1.639,1.6417863000000001,5600,9178.4,5,4.5892,1.83568,9.1784,20.603279999999998
2025-01-10,sell,159509.XSHE,纳指科技ETF景顺,1.63,1.6272289999999998,5600,9128.0,5,4.564,1.8256000000000001,9.128,20.5176
2025-01-10,buy,501018.XSHG,南方原油LOF,1.286,1.2881862000000002,7000,9002.0,5,4.501,1.8004,9.002,20.303400000000003
2025-01-14,sell,501018.XSHG,南方原油LOF,1.346,1.3437118000000001,7000,9422.0,5,4.711,1.8844,9.422,21.017400000000002
2025-01-14,buy,513310.XSHG,中韩半导体ETF华泰柏瑞,1.47,1.472499,6400,9408.0,5,4.704,1.8816000000000002,9.408,20.9936
2025-01-15,sell,513310.XSHG,中韩半导体ETF华泰柏瑞,1.497,1.4944551000000001,6400,9580.800000000001,5,4.790400000000001,1.9161600000000003,9.580800000000002,21.287360000000003
2025-01-15,buy,159518.XSHE,标普油气ETF嘉实,1.144,1.1459447999999999,8300,9495.199999999999,5,4.747599999999999,1.8990399999999998,9.495199999999999,21.141839999999995
2025-01-17,sell,159518.XSHE,标普油气ETF嘉实,1.206,1.2039498,8300,10009.8,5,5.0049,2.00196,10.0098,22.01666
2025-01-17,buy,501018.XSHG,南方原油LOF,1.346,1.3482882,7400,9960.400000000001,5,4.980200000000001,1.9920800000000003,9.960400000000002,21.93268
2025-01-20,sell,501018.XSHG,南方原油LOF,1.337,1.3347270999999998,7400,9893.8,5,4.946899999999999,1.9787599999999999,9.893799999999999,21.81946
2025-01-20,buy,520830.XSHG,沙特ETF华泰柏瑞,1.194,1.1960298,8300,9910.199999999999,5,4.9551,1.9820399999999998,9.9102,21.84734
2025-01-22,sell,520830.XSHG,沙特ETF华泰柏瑞,1.215,1.2129345,8300,10084.5,5,5.04225,2.0169,10.0845,22.14365
2025-01-22,buy,513030.XSHG,德国ETF华安,1.778,1.7810226,5600,9956.8,5,4.9784,1.99136,9.9568,21.926560000000002
2025-01-24,sell,513030.XSHG,德国ETF华安,1.869,1.8658226999999998,5600,10466.4,5,5.2332,2.09328,10.4664,22.79288
