date,held_codes,held_names,daily_return,cumulative_return,benchmark_daily_return,benchmark_cumulative_return,regime,action,next_targets,portfolio_value,cash,position_shares,trading_cost,cash_defense,unfilled_target
2025-01-02,513520.XSHG,日经ETF华夏,0.012771084000000155,0.012771084000000155,-0.028338021577793526,-0.028338021577793526,weak,换仓,159529.XSHE,10127.710840000002,43.3108400000001,6800,21.889160000000004,False,
2025-01-03,159529.XSHE,标普消费ETF景顺,-0.05769259502278601,-0.045658307999999814,-0.011841691969427304,-0.03984414342467357,weak,换仓,501018.XSHG,9543.416920000001,135.41692000000148,6400,43.893919999999994,False,
2025-01-06,501018.XSHG,南方原油LOF,0.016491577526092094,-0.02991970799999999,-0.0016396656035770896,-0.041418477956773225,weak,换仓,159509.XSHE,9700.80292,26.002920000000813,7600,43.014,False,
2025-01-07,159509.XSHE,纳指科技ETF景顺,-0.02105918053224387,-0.05034880399999986,0.007200906348418856,-0.03451582218921512,weak,换仓,501018.XSHG,9496.511960000002,28.81196000000091,5700,42.790960000000005,False,
2025-01-08,501018.XSHG,南方原油LOF,-0.015434251082647177,-0.06500595900000006,-0.0018150158978533781,-0.03626819132106762,weak,换仓,159509.XSHE,9349.94041,54.74041000000034,7200,41.57155,False,
2025-01-09,159509.XSHE,纳指科技ETF景顺,-0.020062673319219848,-0.0837644390000003,-0.00246488723272853,-0.038643681552054665,weak,换仓,501018.XSHG,9162.355609999997,0.7556099999983417,5600,41.184799999999996,False,
2025-01-10,501018.XSHG,南方原油LOF,-0.004302496178709259,-0.08770653900000036,-0.012540080637480577,-0.0506991673067434,weak,持有,501018.XSHG,9122.934609999997,85.93460999999661,7000,40.821000000000005,False,
2025-01-13,501018.XSHG,南方原油LOF,0.04450322372748006,-0.04710653900000039,-0.0026711462620027104,-0.05323488867750803,weak,换仓,513310.XSHG,9528.934609999997,85.93460999999661,7000,0.0,False,
2025-01-14,513310.XSHG,中韩半导体ETF华泰柏瑞,0.010178367673781441,-0.037407639000000215,0.026334381908980742,-0.02830241465784289,normal,换仓,159518.XSHE,9625.923609999998,57.92360999999801,6400,42.011,False,
2025-01-15,159518.XSHE,标普油气ETF嘉实,0.01589154518544955,-0.02211055900000014,-0.006415323488302649,-0.0345361690006154,normal,持有,159518.XSHE,9778.894409999999,101.0944099999997,8300,42.429199999999994,False,
2025-01-16,159518.XSHE,标普油气ETF嘉实,0.0,-0.02211055900000014,0.0011459340416171138,-0.033429811130723186,normal,换仓,501018.XSHG,9778.894409999999,101.0944099999997,8300,0.0,False,
2025-01-17,501018.XSHG,南方原油LOF,0.03399675321783158,0.011134507000000182,0.003147053715681025,-0.03038796282637557,normal,换仓,520830.XSHG,10111.345070000001,106.54507000000012,7400,43.94934000000001,False,
2025-01-20,520830.XSHG,沙特ETF华泰柏瑞,-0.02104238343435383,-0.010142173000000199,0.004548387604463411,-0.025977791455356503,normal,持有,520830.XSHG,9898.578269999998,46.47826999999779,8300,43.666799999999995,False,
2025-01-21,520830.XSHG,沙特ETF华泰柏瑞,0.017608589359570548,0.007287826999999636,0.0007650769777109989,-0.025232589487819812,normal,换仓,513030.XSHG,10072.878269999997,46.47826999999779,8300,0.0,False,
2025-01-22,513030.XSHG,德国ETF华安,0.021962917060051046,0.02941080599999979,-0.0092861000727964,-0.034284377209536476,normal,持有,513030.XSHG,10294.108059999999,130.10805999999866,5600,44.07021,False,
2025-01-23,513030.XSHG,德国ETF华安,0.0,0.02941080599999979,0.0017698089554438745,-0.032575245051909896,normal,换仓,501018.XSHG,10294.108059999999,130.10805999999866,5600,0.0,False,
2025-01-24,501018.XSHG,南方原油LOF,0.0265109049185559,0.05670141799999984,0.007655623149847246,-0.025169005702194047,normal,持有,501018.XSHG,10567.014179999998,20.814179999997577,8100,45.69388,False,
2025-01-27,501018.XSHG,南方原油LOF,-0.0007665363045817886,0.05589141799999986,-0.004117030102847585,-0.029182414250906952,weak,换仓,159985.XSHE,10558.914179999998,20.814179999997577,8100,0.0,False,
2025-02-05,159985.XSHE,豆粕ETF华夏,0.0034184253593392278,0.05950090399999963,-0.005763567962945526,-0.034777787385994574,weak,持有,159985.XSHE,10595.009039999997,58.60903999999755,5300,45.60514,False,
2025-02-06,159985.XSHE,豆粕ETF华夏,-0.009504475137285806,0.04943090399999983,0.012582079956153791,-0.022633284331429526,normal,持有,159985.XSHE,10494.309039999998,58.60903999999755,5300,0.0,False,
